0,32.98845363,18.9125777
656,32.43534119,18.58361881
1311,31.88217979,18.25524526
1967,31.32873521,17.92730696
2622,30.77601729,17.60039002
3277,30.22355599,17.27420338
3933,29.67213358,16.94919557
4588,29.12168686,16.62531496
5243,28.57293429,16.30296921
5899,28.0256656,15.98201917
6554,27.48023463,15.6626568
7209,27.00176395,15.3829119
7865,26.52063048,15.10198959
8520,26.03776044,14.82042858
9175,25.5531205,14.53820613
9831,25.06712214,14.25555804
10486,24.58019658,13.97273024
11141,24.09265891,13.68990001
11797,23.60484649,13.40725655
12452,23.11716114,13.12502544
13107,22.62972778,12.84327117
13763,22.14316614,12.5623435
14418,21.65755511,12.28227889
15074,21.17318869,12.00323757
15729,20.69055416,11.72549032
16384,20.20987366,11.44915462
17040,19.73135715,11.17434056
17695,19.25547224,10.90130577
18350,18.78240108,10.63014352
19006,18.31240056,10.36098977
19661,17.84576211,10.09399999
20316,17.38284977,9.829370836
20972,16.92370549,9.567114749
21627,16.46879003,9.307483352
22282,16.01827397,9.050562403
22938,15.57239514,8.796476049
23593,15.13137728,8.545340447
24248,15.16182342,8.562672193
24904,14.26477775,8.052362691
25559,13.8396184,7.810738967
26214,13.42016559,7.572503415
26870,13.0065878,7.337741395
27525,12.5990639,7.106544417
28181,12.19773881,6.878984947
28836,11.80282347,6.65517317
29491,11.41445894,6.435179898
30147,11.03277408,6.21906934
30802,10.65789397,6.006903892
31457,10.2899345,5.798741058
32113,9.929046726,5.594658565
32768,9.575296752,5.394686416
33423,9.22883997,5.198905424
34079,8.889713178,5.007329708
34734,8.558040105,4.820022842
35389,8.233873606,4.637008692
36045,7.917283539,4.45832106
36700,7.609542172,4.284672462
37355,7.307058229,4.114031728
38011,7.013501548,3.948464704
38666,6.727714919,3.787314125
39321,6.449696694,3.630574993
39977,6.179486167,3.478265681
40632,5.917063826,3.330371683
41288,5.662437851,3.186894367
41943,5.415598873,3.047825457
42598,5.176515758,2.913144658
43254,4.945163145,2.782835149
43909,4.721497305,2.656869986
44564,4.505473232,2.535221703
45220,4.297029276,2.417853657
45875,4.096085982,2.304719358
46530,3.90257254,2.195777354
47186,3.716383096,2.090966623
47841,3.537423567,1.990232914
48496,3.365569711,1.893505139
49152,3.200692281,1.800709517
49807,3.042657969,1.711770098
50462,2.891305955,1.626595557
51118,2.746473849,1.545093783
51773,2.60798807,1.467166454
52429,2.475664604,1.392709459
53084,2.349306857,1.321611683
53739,2.228717711,1.25376178
54395,2.113689284,1.189042405
55050,2.004015281,1.12733716
55705,1.899485363,1.068527417
56361,1.799892366,1.012496375
57016,1.705034541,0.959130315
57671,1.614717555,0.908319721
58327,1.528755933,0.859960088
58982,1.446978461,0.813954957
59637,1.372517895,0.772066554
60293,1.301269943,0.731985851
60948,1.233216282,0.693702466
61603,1.168353022,0.657214142
62259,1.106689548,0.622526101
62914,1.048256427,0.589655484
63569,0.993105071,0.558631163
64225,0.941312951,0.529496676
64880,0.892985514,0.502311302
65535,0.848259683,0.477152029
