0,45.032459,26.251578
656,44.314191,25.803289
1311,43.594114,25.355361
1967,42.871965,24.907612
2622,42.149033,24.460822
3277,41.424803,24.014650
3933,40.700251,23.569673
4588,39.975351,23.125848
5243,39.251105,22.683760
5899,38.527267,22.243227
6554,37.804299,21.804500
7209,37.168161,21.419497
7865,36.527364,21.032633
8520,35.883160,20.644662
9175,35.235489,20.255544
9831,34.584905,19.865606
10486,33.932011,19.475202
11141,33.277223,19.084569
11797,32.621024,18.693983
12452,31.963954,18.303751
13107,31.306201,17.913967
13763,30.648636,17.525130
14418,29.991386,17.137295
15074,29.334874,16.750689
15729,28.679760,16.365679
16384,28.026411,15.982456
17040,27.375117,15.601166
17695,26.726557,15.222179
18350,26.081009,14.845632
19006,25.438847,14.471714
19661,24.800521,14.100660
20316,24.166544,13.732740
20972,23.537017,13.367982
21627,22.912606,13.006745
22282,22.293581,12.649155
22938,21.680303,12.295391
23593,21.073114,11.945622
24248,20.472347,11.600011
24904,19.878326,11.258716
25559,19.291376,10.921896
26214,18.711824,10.589711
26870,18.139928,10.262282
27525,17.575970,9.939743
28181,17.020185,9.622205
28836,16.472896,9.309826
29491,15.934328,9.002711
30147,15.404688,8.700955
30802,14.884173,8.404648
31457,14.372977,8.113878
32113,13.871337,7.828760
32768,13.379364,7.549337
33423,12.897301,7.275728
34079,12.425218,7.007956
34734,11.963314,6.746115
35389,11.511678,6.490241
36045,11.070430,6.240386
36700,10.639664,5.996589
37355,10.219480,5.758893
38011,9.809920,5.527309
38666,9.411082,5.301881
39321,9.022978,5.082605
39977,8.645677,4.869509
40632,8.279163,4.662574
41288,7.923458,4.461806
41943,7.578560,4.267193
42598,7.244435,4.078709
43254,6.921055,3.896332
43909,6.608370,3.720027
44564,6.306321,3.549755
45220,6.014830,3.385467
45875,5.733792,3.227099
46530,5.463114,3.074594
47186,5.202652,2.927867
47841,4.952279,2.786843
48496,4.711825,2.651423
49152,4.481114,2.521505
49807,4.259961,2.396983
50462,4.048145,2.277729
51118,3.845441,2.163616
51773,3.651607,2.054505
52429,3.466390,1.950251
53084,3.289515,1.850699
53739,3.120707,1.755694
54395,2.959677,1.665072
55050,2.806138,1.578668
55705,2.659796,1.496319
56361,2.519826,1.417559
57016,2.387552,1.343131
57671,2.261098,1.271981
58327,2.140740,1.204262
58982,2.026238,1.139840
59637,1.921891,1.081133
60293,1.822059,1.024967
60948,1.726713,0.971327
61603,1.635847,0.920207
62259,1.549471,0.871614
62914,1.467627,0.825571
63569,1.390384,0.782117
64225,1.317851,0.741314
64880,1.250174,0.703242
65535,1.187543,0.668009
